,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
1608,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,No,Public,Rural,Male,Yes,Computer
1609,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,No,Private,Rural,Female,Yes,Computer
1610,Upto HSC,24.0,,No,No,Yes,Urban,No,Mobile Internet,4,3,Yes,Public,Rural,Female,No,Computer
1611,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,4,Yes,Private,Urban,Male,Yes,Computer
1612,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Broadband,4,2,No,Private,Rural,Male,No,Computer
1613,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Broadband,4,2,Yes,,Urban,Female,No,Computer
1614,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Public,Rural,,No,Mobile
1615,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,2,Yes,Public,Urban,Male,Yes,Computer
1616,Hons or Grater,22.0,Yes,No,Yes,Yes,Rural,No,Mobile Internet,4,2,No,Private,Rural,Female,No,Mobile
1617,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Broadband,4,4,Yes,Public,Rural,Female,Yes,Computer
1618,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Broadband,5,2,No,Private,Rural,Male,Yes,Mobile
1619,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Computer
1620,Hons or Grater,26.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,6,3,No,Private,Urban,Female,No,Mobile
1621,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,5,4,No,Public,Urban,Male,Yes,Computer
1622,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,No,Public,Urban,Male,No,Computer
1623,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Public,,Male,No,Computer
1624,Upto HSC,21.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,Yes,Computer
1625,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,2,No,Private,Rural,Female,No,Mobile
1626,Hons or Grater,23.0,Yes,No,No,No,,No,Mobile Internet,5,3,No,Public,Urban,Female,Yes,Mobile
1627,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Broadband,3,3,No,,Urban,Female,No,Mobile
1628,Upto HSC,25.0,Yes,No,No,No,Urban,No,Broadband,3,3,No,Private,Rural,Male,Yes,Computer
1629,Hons or Grater,22.0,Yes,No,No,No,Rural,No,Broadband,5,3,Yes,Private,Rural,Male,Yes,Computer
1630,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,Yes,Private,Urban,Male,Yes,Computer
1631,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,No,Computer
1632,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Broadband,3,3,Yes,Private,,Male,Yes,Mobile
1633,Hons or Grater,25.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,4,Yes,Private,Rural,Female,No,Computer
1634,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,3,Yes,,Rural,Female,No,Computer
1635,Hons or Grater,21.0,Yes,No,Yes,Yes,Rural,No,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Computer
1636,Hons or Grater,24.0,No,No,No,Yes,Urban,No,Mobile Internet,5,4,Yes,Public,Urban,Female,Yes,Mobile
1637,Upto HSC,,Yes,No,No,Yes,,No,Mobile Internet,6,4,Yes,Private,Urban,Male,,Computer
1638,Hons or Grater,21.0,No,No,Yes,No,Urban,No,Broadband,3,4,No,Public,Rural,Female,No,Mobile
1639,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,2,No,Public,Urban,,Yes,Computer
1640,Upto HSC,21.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Private,Urban,Male,Yes,Computer
1641,Hons or Grater,22.0,Yes,No,No,Yes,Urban,No,Broadband,5,3,No,Private,Urban,Male,Yes,Mobile
1642,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,No,Private,Urban,Female,,Computer
1643,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Broadband,3,4,No,Public,Urban,,,Mobile
1644,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,No,Public,Rural,Male,Yes,Computer
1645,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,No,Private,Urban,Male,Yes,Mobile
1646,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,No,Private,Urban,Female,No,Computer
1647,Hons or Grater,21.0,Yes,No,Yes,Yes,Rural,No,Broadband,4,4,No,Private,Rural,Female,No,Mobile
1648,Hons or Grater,24.0,Yes,,No,No,Urban,Yes,Broadband,4,4,No,Private,Rural,,No,Computer
1649,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Mobile Internet,6,3,Yes,Private,Urban,Female,,Computer
1650,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Broadband,6,4,Yes,Private,Urban,Female,No,Computer
1651,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,6,2,No,Public,Rural,Female,No,Computer
1652,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,,Urban,Female,Yes,Mobile
1653,Upto HSC,26.0,No,No,No,No,Urban,No,Broadband,5,3,Yes,Private,Urban,Male,Yes,Mobile
1654,Upto HSC,24.0,No,No,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Male,No,Computer
1655,Hons or Grater,22.0,Yes,Yes,No,Yes,Rural,No,Broadband,5,4,Yes,Private,Rural,Male,Yes,Computer
1656,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,No,Public,,Female,Yes,Mobile
1657,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Broadband,6,4,Yes,Public,Rural,Female,No,Computer
1658,Hons or Grater,22.0,Yes,No,No,Yes,Rural,No,Mobile Internet,5,4,No,Private,Rural,Male,Yes,Computer
1659,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,2,Yes,Public,Urban,Female,Yes,Mobile
1660,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,No,Private,Urban,Female,Yes,Mobile
1661,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,4,3,Yes,Public,Rural,Male,,Computer
1662,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,3,3,No,Private,Rural,Female,Yes,Mobile
1663,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,2,Yes,Public,Rural,Male,Yes,Computer
1664,Hons or Grater,24.0,Yes,No,No,Yes,Urban,No,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Computer
1665,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Broadband,5,2,No,Public,Urban,Female,Yes,Computer
1666,Upto HSC,22.0,Yes,No,Yes,Yes,Rural,No,Mobile Internet,4,2,Yes,Public,Rural,Male,Yes,Computer
1667,Hons or Grater,21.0,No,No,No,No,Rural,No,Mobile Internet,3,3,Yes,Private,Urban,Male,Yes,Computer
1668,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,Yes,Public,,Male,No,Computer
1669,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Computer
1670,Upto HSC,22.0,Yes,No,Yes,No,Urban,No,Broadband,5,2,No,Private,Rural,Male,No,Computer
1671,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Public,Urban,Male,No,Computer
1672,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,Yes,Private,Urban,Male,No,Computer
1673,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,,Rural,Male,No,Computer
1674,Upto HSC,20.0,No,No,No,No,Urban,No,Mobile Internet,4,3,No,Private,Urban,Male,No,Mobile
1675,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,4,No,Public,Urban,Female,No,Mobile
1676,Hons or Grater,21.0,Yes,No,Yes,No,Urban,No,Mobile Internet,3,4,No,,Urban,Female,No,Computer
1677,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,No,Private,Urban,Female,Yes,Computer
1678,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Computer
1679,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,No,Public,Urban,Male,Yes,Mobile
1680,Hons or Grater,22.0,No,No,Yes,Yes,Urban,No,Broadband,5,2,No,Private,Rural,,Yes,Computer
1681,Hons or Grater,26.0,Yes,No,Yes,No,Urban,No,Mobile Internet,4,4,No,Private,Urban,Female,No,Mobile
1682,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Public,,Female,No,Mobile
1683,Upto HSC,21.0,Yes,Yes,No,No,Urban,No,Broadband,6,3,No,Private,Rural,Female,Yes,Computer
1684,Hons or Grater,25.0,No,No,Yes,Yes,Urban,No,Broadband,4,3,Yes,Private,Urban,Male,Yes,Computer
1685,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Broadband,4,3,Yes,Private,Urban,Male,No,Computer
1686,Upto HSC,18.0,No,Yes,No,No,Urban,Yes,Mobile Internet,3,3,No,Private,Urban,Male,Yes,Mobile
1687,Hons or Grater,23.0,No,No,No,No,Urban,No,Mobile Internet,3,2,No,Private,Urban,Male,Yes,Computer
1688,Hons or Grater,25.0,Yes,No,No,Yes,Urban,No,Mobile Internet,4,3,Yes,Public,Urban,Female,Yes,Mobile
1689,Hons or Grater,,Yes,No,Yes,Yes,Urban,No,Mobile Internet,6,3,No,,Urban,Male,Yes,Computer
1690,Hons or Grater,25.0,,No,Yes,Yes,Urban,No,Mobile Internet,6,3,No,Private,Urban,Male,Yes,Computer
1691,Upto HSC,,Yes,No,No,No,Urban,No,Broadband,4,4,No,,Rural,Female,Yes,Mobile
1692,Hons or Grater,26.0,Yes,No,No,No,Urban,No,Broadband,5,2,Yes,,Urban,Male,Yes,Computer
1693,Hons or Grater,26.0,Yes,No,No,No,Urban,No,Broadband,5,2,No,Public,,Female,Yes,Computer
1694,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,,Rural,Male,Yes,Mobile
1695,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,Yes,Private,Urban,Female,Yes,Mobile
1696,Upto HSC,25.0,Yes,No,No,Yes,Urban,No,Broadband,5,2,No,Public,Rural,Male,Yes,Computer
1697,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,No,Private,Rural,Female,Yes,Computer
1698,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Public,Rural,Male,Yes,Computer
1699,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Mobile
1700,Upto HSC,22.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,5,3,No,Private,Rural,Female,Yes,Computer
1701,Hons or Grater,21.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Computer
1702,Hons or Grater,24.0,Yes,No,No,No,,No,Broadband,3,2,Yes,Private,Urban,Male,Yes,Mobile
1703,Hons or Grater,24.0,Yes,,No,No,Urban,Yes,Broadband,3,3,Yes,Public,,Male,No,Computer
1704,Hons or Grater,22.0,Yes,No,Yes,No,Rural,No,Broadband,3,4,No,Private,Rural,Male,Yes,Mobile
1705,Hons or Grater,22.0,No,Yes,No,Yes,Urban,Yes,Broadband,5,4,No,Private,Rural,Male,Yes,Computer
1706,Hons or Grater,22.0,Yes,No,No,No,Rural,No,Mobile Internet,4,2,Yes,Public,Urban,Male,No,Mobile
1707,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,2,Yes,Public,Rural,Female,,Computer
1708,Hons or Grater,22.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,6,3,Yes,Private,Urban,Male,,Computer
1709,Hons or Grater,23.0,Yes,No,No,Yes,Urban,No,Mobile Internet,5,4,No,,Urban,,,Computer
1710,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,2,No,Public,Urban,Male,Yes,Mobile
1711,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,,Female,No,Mobile
1712,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,3,Yes,Public,Urban,Female,Yes,Computer
1713,Hons or Grater,22.0,Yes,Yes,No,No,,No,Broadband,6,3,No,Public,Urban,Female,Yes,Mobile
1714,Upto HSC,22.0,Yes,No,No,No,Urban,No,Mobile Internet,6,4,Yes,Private,Urban,Female,Yes,Computer
1715,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Broadband,4,3,No,Public,Rural,Male,Yes,Computer
1716,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Private,Rural,Male,,Computer
1717,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,,Urban,Male,No,Computer
1718,Hons or Grater,25.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,3,Yes,Public,,Male,Yes,Computer
1719,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,No,,Urban,Male,Yes,Computer
1720,Upto HSC,22.0,Yes,No,Yes,Yes,Urban,No,Broadband,4,3,Yes,,,Male,No,Computer
1721,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Computer
1722,Hons or Grater,22.0,No,Yes,No,No,Urban,No,Broadband,5,2,Yes,Private,Urban,Male,Yes,Computer
1723,Hons or Grater,25.0,Yes,No,No,No,Urban,No,Mobile Internet,6,4,Yes,Public,Rural,Female,No,Mobile
1724,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,2,Yes,Private,Urban,Male,Yes,Mobile
1725,Hons or Grater,23.0,Yes,No,No,No,Urban,No,Broadband,6,4,Yes,Private,Urban,Female,No,Mobile
1726,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,,Female,Yes,Computer
1727,Upto HSC,17.0,Yes,No,No,No,,No,Broadband,4,2,Yes,Private,Rural,Male,,Computer
1728,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,Yes,Private,Rural,Male,Yes,Mobile
1729,Hons or Grater,25.0,Yes,No,No,No,Rural,No,Broadband,5,4,Yes,Public,Rural,Female,Yes,Mobile
1730,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,2,No,Public,,Female,No,Mobile
1731,Upto HSC,21.0,Yes,No,No,No,Urban,No,Broadband,5,3,No,Public,Rural,Female,Yes,Computer
1732,Upto HSC,22.0,Yes,No,No,Yes,Urban,No,Mobile Internet,4,4,Yes,Private,Urban,Female,No,Computer
1733,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Male,,Mobile
1734,Upto HSC,21.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,2,No,Public,Rural,Male,,Computer
1735,Hons or Grater,23.0,Yes,No,No,Yes,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Mobile
1736,Hons or Grater,25.0,No,No,No,No,Urban,No,Mobile Internet,4,2,No,Public,Rural,Male,Yes,Mobile
1737,Upto HSC,18.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,Yes,,Rural,,,Computer
1738,Upto HSC,24.0,Yes,No,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Female,No,Mobile
1739,Upto HSC,24.0,Yes,No,No,Yes,Rural,No,Broadband,4,2,Yes,,Rural,Male,No,Mobile
1740,Hons or Grater,21.0,Yes,No,No,Yes,Urban,No,Mobile Internet,5,4,Yes,Public,Rural,Male,Yes,Mobile
1741,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,4,4,Yes,Private,Rural,Male,No,Computer
1742,Hons or Grater,26.0,Yes,No,No,No,Urban,No,Mobile Internet,4,4,No,Public,Urban,Male,No,Computer
1743,Hons or Grater,21.0,Yes,No,Yes,No,Rural,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Computer
1744,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,5,2,No,Public,Urban,Female,No,Computer
1745,Upto HSC,18.0,Yes,No,No,No,Urban,No,Broadband,5,2,No,Public,Rural,Male,No,Computer
1746,Hons or Grater,22.0,Yes,Yes,No,Yes,,Yes,Broadband,4,2,No,Private,Rural,Female,Yes,Computer
1747,Upto HSC,,Yes,,No,Yes,Urban,No,Mobile Internet,6,3,Yes,Public,Rural,Male,Yes,Computer
1748,Hons or Grater,26.0,Yes,No,No,Yes,Rural,No,Mobile Internet,4,4,No,Private,Rural,Female,Yes,Computer
1749,Upto HSC,19.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,6,4,No,Private,Rural,Female,No,Computer
1750,Upto HSC,17.0,Yes,Yes,No,No,,No,Broadband,6,2,Yes,Private,Urban,Female,No,Computer
1751,Upto HSC,22.0,Yes,No,No,No,Urban,No,Mobile Internet,5,3,Yes,Public,,,,Computer
1752,Hons or Grater,,Yes,Yes,No,Yes,Urban,No,Broadband,5,3,No,Public,Rural,Female,Yes,Mobile
1753,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,Yes,Public,,Male,Yes,Computer
1754,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,,Rural,Male,No,Computer
1755,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,No,Private,Urban,Female,Yes,Computer
1756,Hons or Grater,23.0,,Yes,No,Yes,Rural,No,Broadband,4,2,Yes,Private,Rural,Male,No,Mobile
1757,Upto HSC,19.0,,,No,No,Rural,Yes,Broadband,5,3,Yes,Public,Urban,Male,No,Computer
1758,Hons or Grater,22.0,No,No,No,No,Urban,No,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Computer
1759,Upto HSC,,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Mobile
1760,Hons or Grater,,,Yes,No,No,Rural,Yes,Mobile Internet,5,2,No,Private,Urban,Female,No,Computer
1761,Hons or Grater,,Yes,Yes,No,No,Urban,No,Broadband,4,2,No,Private,Rural,Female,Yes,Computer
1762,Hons or Grater,25.0,Yes,,No,No,Urban,No,Mobile Internet,6,2,No,Private,Rural,Female,Yes,Computer
1763,Hons or Grater,21.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,4,No,Private,Rural,Male,Yes,Mobile
1764,Hons or Grater,,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,Urban,,No,Computer
1765,Hons or Grater,,,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,,,Yes,Computer
1766,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,,Computer
1767,Upto HSC,,,,No,Yes,Urban,No,Broadband,4,3,Yes,,Urban,,Yes,Computer
1768,Hons or Grater,26.0,Yes,No,Yes,Yes,Urban,No,Broadband,4,2,Yes,Public,Rural,Female,Yes,Mobile
1769,Hons or Grater,,Yes,,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Female,Yes,Computer
1770,Upto HSC,,Yes,Yes,No,No,Rural,No,Broadband,5,3,Yes,Public,Rural,Male,Yes,Mobile
1771,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,,Female,Yes,Computer
1772,Upto HSC,19.0,Yes,No,No,No,Urban,No,Mobile Internet,3,3,Yes,,Rural,Female,Yes,Computer
1773,Hons or Grater,,,,No,Yes,Rural,Yes,Mobile Internet,4,3,Yes,Private,Rural,Male,No,Mobile
1774,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,No,Private,Urban,,No,Computer
1775,Hons or Grater,,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Private,,Female,Yes,Mobile
1776,Upto HSC,,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,2,Yes,Public,Urban,,No,Mobile
1777,Upto HSC,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,Yes,Private,Rural,Female,Yes,Computer
1778,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,3,3,No,Private,,Male,,Mobile
1779,Upto HSC,,,,Yes,No,Urban,No,Broadband,5,2,No,Private,Urban,Male,Yes,Mobile
1780,Hons or Grater,,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,Yes,Public,Urban,Female,No,Computer
1781,Upto HSC,18.0,No,Yes,No,No,Urban,Yes,Broadband,3,4,Yes,Private,Rural,Male,Yes,Computer
1782,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,3,No,Public,Urban,Female,No,Computer
1783,Hons or Grater,22.0,Yes,No,Yes,No,Urban,No,Broadband,4,3,Yes,Private,Rural,Male,Yes,Mobile
1784,Hons or Grater,23.0,Yes,No,Yes,No,Rural,No,Broadband,3,3,Yes,Private,Rural,Male,Yes,Mobile
1785,Hons or Grater,24.0,,No,No,No,,No,Broadband,5,2,Yes,Public,Rural,,Yes,Mobile
1786,Hons or Grater,23.0,Yes,No,No,No,Urban,No,Broadband,5,3,No,Public,Urban,Male,,Mobile
1787,Hons or Grater,24.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,6,2,No,Private,Urban,Female,Yes,Computer
1788,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,Yes,Private,Urban,Female,No,Mobile
1789,Upto HSC,20.0,No,No,No,No,Urban,No,Broadband,6,3,No,Private,Rural,,Yes,Mobile
1790,Upto HSC,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Female,No,Computer
1791,Upto HSC,25.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,4,3,No,Public,Urban,Male,No,Computer
1792,Upto HSC,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,2,No,Private,Rural,Female,,Computer
1793,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,Yes,Private,Rural,Male,Yes,Computer
1794,Upto HSC,24.0,Yes,Yes,No,No,,No,Mobile Internet,3,3,Yes,Public,Rural,Female,Yes,Computer
1795,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Public,Rural,Male,No,Mobile
1796,Upto HSC,25.0,No,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Private,,Female,Yes,Mobile
1797,Upto HSC,18.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,4,No,Public,Urban,Female,Yes,Computer
1798,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Private,Urban,Female,Yes,Computer
1799,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Computer
1800,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,3,No,,Rural,Male,Yes,Mobile
1801,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,Yes,Private,Rural,Female,Yes,Computer
1802,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,5,2,No,Private,Urban,Female,Yes,Mobile
1803,Upto HSC,24.0,Yes,No,Yes,No,Urban,No,Broadband,4,4,No,Private,Rural,Female,Yes,Mobile
1804,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,Yes,Public,Rural,Male,Yes,Mobile
1805,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,4,Yes,Private,Rural,Female,Yes,Mobile
1806,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Private,Urban,Female,Yes,Computer
1807,Hons or Grater,24.0,Yes,No,No,Yes,Urban,No,Broadband,3,3,Yes,Private,Urban,,,Computer
1808,Upto HSC,25.0,Yes,No,Yes,No,,No,Broadband,4,3,Yes,Private,Urban,Female,,Mobile
1809,Hons or Grater,23.0,Yes,Yes,No,No,,No,Broadband,3,3,Yes,,Rural,Male,Yes,Computer
1810,Hons or Grater,,Yes,No,No,No,Urban,No,Mobile Internet,6,3,Yes,Private,Urban,Female,No,Mobile
1811,Hons or Grater,24.0,Yes,No,No,Yes,Urban,No,Mobile Internet,5,3,No,,Rural,Male,Yes,Computer
1812,Upto HSC,22.0,Yes,No,No,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Computer
1813,Hons or Grater,23.0,Yes,Yes,No,Yes,,Yes,Broadband,6,4,No,Private,Urban,Male,Yes,Computer
1814,Upto HSC,,Yes,,Yes,No,Urban,Yes,Broadband,3,4,No,Private,Rural,Male,No,Computer
1815,Hons or Grater,,,,No,No,Urban,No,Mobile Internet,5,2,No,Public,Rural,Male,Yes,Computer
1816,Upto HSC,,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,,,,Computer
1817,Upto HSC,,,,Yes,No,Urban,Yes,Mobile Internet,3,3,No,Private,Urban,Male,Yes,Computer
1818,Upto HSC,18.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,No,Private,Urban,Female,Yes,Mobile
1819,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,,Rural,Male,Yes,Mobile
1820,Upto HSC,26.0,Yes,No,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Mobile
1821,Upto HSC,22.0,Yes,No,No,No,Rural,No,Broadband,4,4,No,Public,Rural,Male,Yes,Computer
1822,Hons or Grater,24.0,Yes,No,No,Yes,Urban,No,Broadband,5,3,Yes,Private,Rural,Female,Yes,Mobile
1823,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,2,No,Private,Urban,Male,No,Computer
1824,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Rural,Male,Yes,Computer
1825,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,2,No,Public,Rural,Male,Yes,Mobile
1826,Hons or Grater,25.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,3,No,Private,Urban,Male,No,Computer
